DBN,School Name,Year,% English Language Learners
02M111,P.S. 111 Adolph S. Ochs,2021-22,0.08181817829608917
02M111,P.S. 111 Adolph S. Ochs,2022-23,0.2069825381040573
02M114,East Side Middle School,2018-19,0
02M114,East Side Middle School,2019-20,0.002188183832913637
02M114,East Side Middle School,2020-21,0.002298850566148758
02M114,East Side Middle School,2021-22,0
02M114,East Side Middle School,2022-23,0.0047505940310657024
02M116,P.S. 116 Mary Lindley Murray,2018-19,0.0496031753718853
02M116,P.S. 116 Mary Lindley Murray,2019-20,0.07999999821186066
02M116,P.S. 116 Mary Lindley Murray,2020-21,0.08292683213949203
02M116,P.S. 116 Mary Lindley Murray,2021-22,0.10761155188083649
02M116,P.S. 116 Mary Lindley Murray,2022-23,0.20454545319080353
02M124,P.S. 124 Yung Wing,2018-19,0.2548148036003113
02M124,P.S. 124 Yung Wing,2019-20,0.21301774680614471
02M124,P.S. 124 Yung Wing,2020-21,0.21625766158103943
02M124,P.S. 124 Yung Wing,2021-22,0.23529411852359772
02M124,P.S. 124 Yung Wing,2022-23,0.17760618031024933
02M126,P.S. 126 Jacob August Riis,2018-19,0.14747190475463867
02M126,P.S. 126 Jacob August Riis,2019-20,0.12464985996484756
02M126,P.S. 126 Jacob August Riis,2020-21,0.12407680600881577
02M126,P.S. 126 Jacob August Riis,2021-22,0.11500000208616257
02M126,P.S. 126 Jacob August Riis,2022-23,0.08996539562940598
02M130,P.S. 130 Hernando De Soto,2018-19,0.15967366099357605
02M130,P.S. 130 Hernando De Soto,2019-20,0.15954773128032684
02M130,P.S. 130 Hernando De Soto,2020-21,0.17757008969783783
02M130,P.S. 130 Hernando De Soto,2021-22,0.1959247589111328
02M130,P.S. 130 Hernando De Soto,2022-23,0.17161716520786285
02M131,M.S. 131,2018-19,0.251870334148407
02M131,M.S. 131,2019-20,0.23026315867900848
02M131,M.S. 131,2020-21,0.2698412835597992
02M131,M.S. 131,2021-22,0.29203540086746216
02M131,M.S. 131,2022-23,0.21794871985912323
02M135,The Urban Assembly School for Emergency Management,2018-19,0.03396226465702057
02M135,The Urban Assembly School for Emergency Management,2019-20,0.04296875
02M135,The Urban Assembly School for Emergency Management,2020-21,0.07352941483259201
02M135,The Urban Assembly School for Emergency Management,2021-22,0.07216494530439377
02M135,The Urban Assembly School for Emergency Management,2022-23,0.06333333253860474
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2018-19,0.07231920212507248
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2019-20,0.057692307978868484
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2020-21,0.0714285746216774
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2021-22,0.07481297105550766
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2022-23,0.04891304299235344
02M150,P.S. 150,2018-19,0.021164020523428917
02M150,P.S. 150,2019-20,0.02631578966975212
02M150,P.S. 150,2020-21,0.03888889029622078
02M150,P.S. 150,2021-22,0.012820512987673283
02M150,P.S. 150,2022-23,0.020618556067347527
02M151,Yorkville Community School,2018-19,0.041152264922857285
02M151,Yorkville Community School,2019-20,0.03999999910593033
02M151,Yorkville Community School,2020-21,0.03999999910593033
02M151,Yorkville Community School,2021-22,0.05000000074505806
02M151,Yorkville Community School,2022-23,0.034682080149650574
02M158,P.S. 158 Bayard Taylor,2018-19,0.054020099341869354
02M158,P.S. 158 Bayard Taylor,2019-20,0.04353233799338341
02M158,P.S. 158 Bayard Taylor,2020-21,0.06896551698446274
02M158,P.S. 158 Bayard Taylor,2021-22,0.07066052407026291
02M158,P.S. 158 Bayard Taylor,2022-23,0.04984423518180847
02M167,J.H.S. 167 Robert F. Wagner,2018-19,0.029731689020991325
02M167,J.H.S. 167 Robert F. Wagner,2019-20,0.0341753326356411
02M167,J.H.S. 167 Robert F. Wagner,2020-21,0.04156862571835518
02M167,J.H.S. 167 Robert F. Wagner,2021-22,0.03478260710835457
02M167,J.H.S. 167 Robert F. Wagner,2022-23,0.04411764815449715
02M177,Yorkville East Middle School,2018-19,0.01304347813129425
02M177,Yorkville East Middle School,2019-20,0.017621144652366638
02M177,Yorkville East Middle School,2020-21,0.02083333395421505
02M177,Yorkville East Middle School,2021-22,0.022522522136569023
02M177,Yorkville East Middle School,2022-23,0.011673151515424252
02M183,P.S. 183 Robert L. Stevenson,2018-19,0.06137184053659439
02M183,P.S. 183 Robert L. Stevenson,2019-20,0.0794702023267746
02M183,P.S. 183 Robert L. Stevenson,2020-21,0.09426987171173096
02M183,P.S. 183 Robert L. Stevenson,2021-22,0.05447470769286156
02M183,P.S. 183 Robert L. Stevenson,2022-23,0.05040322616696358
02M198,P.S. 198 Isador E. Ida Straus,2018-19,0.05942622944712639
02M198,P.S. 198 Isador E. Ida Straus,2019-20,0.0590631365776062
02M198,P.S. 198 Isador E. Ida Straus,2020-21,0.06521739065647125
02M198,P.S. 198 Isador E. Ida Straus,2021-22,0.05783132463693619
02M198,P.S. 198 Isador E. Ida Straus,2022-23,0.04575163498520851
02M212,P.S. 212 Midtown West,2018-19,0.022038567811250687
02M212,P.S. 212 Midtown West,2019-20,0.0324324332177639
