DBN,School Name,Grade,Year,% Level 3+4
01M140,P.S. 140 NATHAN STRAUS,All Grades,2018,25.55066109
01M140,P.S. 140 NATHAN STRAUS,3,2017,24
01M140,P.S. 140 NATHAN STRAUS,4,2017,3.448275805
01M140,P.S. 140 NATHAN STRAUS,5,2017,27.58620644
01M140,P.S. 140 NATHAN STRAUS,6,2017,20.83333397
01M140,P.S. 140 NATHAN STRAUS,7,2017,23.63636398
01M140,P.S. 140 NATHAN STRAUS,8,2017,36.36363602
01M140,P.S. 140 NATHAN STRAUS,All Grades,2017,24.06639099
01M140,P.S. 140 NATHAN STRAUS,3,2016,17.857143399999998
01M140,P.S. 140 NATHAN STRAUS,4,2016,3.225806475
01M140,P.S. 140 NATHAN STRAUS,5,2016,19.04761887
01M140,P.S. 140 NATHAN STRAUS,6,2016,9.259259224
01M140,P.S. 140 NATHAN STRAUS,7,2016,17.02127647
01M140,P.S. 140 NATHAN STRAUS,8,2016,34.42623138
01M140,P.S. 140 NATHAN STRAUS,All Grades,2016,18.18181801
01M140,P.S. 140 NATHAN STRAUS,3,2015,14.81481457
01M140,P.S. 140 NATHAN STRAUS,4,2015,4.166666508
01M140,P.S. 140 NATHAN STRAUS,5,2015,4
01M140,P.S. 140 NATHAN STRAUS,6,2015,8.333333015
01M140,P.S. 140 NATHAN STRAUS,7,2015,16.66666603
01M140,P.S. 140 NATHAN STRAUS,8,2015,24.13793182
01M140,P.S. 140 NATHAN STRAUS,All Grades,2015,13.9830513
01M140,P.S. 140 NATHAN STRAUS,3,2014,0
01M140,P.S. 140 NATHAN STRAUS,4,2014,6.451612949
01M140,P.S. 140 NATHAN STRAUS,5,2014,4.166666508
01M140,P.S. 140 NATHAN STRAUS,6,2014,8.771929741
01M140,P.S. 140 NATHAN STRAUS,7,2014,23.63636398
01M140,P.S. 140 NATHAN STRAUS,8,2014,8.196721077
01M140,P.S. 140 NATHAN STRAUS,All Grades,2014,10.1960783
01M140,P.S. 140 NATHAN STRAUS,3,2013,6.451612949
01M140,P.S. 140 NATHAN STRAUS,4,2013,8.333333015
01M140,P.S. 140 NATHAN STRAUS,5,2013,0
01M140,P.S. 140 NATHAN STRAUS,6,2013,8.620689392
01M140,P.S. 140 NATHAN STRAUS,7,2013,4.761904716
01M140,P.S. 140 NATHAN STRAUS,8,2013,13.46153831
01M140,P.S. 140 NATHAN STRAUS,All Grades,2013,7.509881496
01M142,P.S. 142 AMALIA CASTRO,3,2023,34.78260803
01M142,P.S. 142 AMALIA CASTRO,4,2023,46.42856979
01M142,P.S. 142 AMALIA CASTRO,5,2023,11.11111069
01M142,P.S. 142 AMALIA CASTRO,All Grades,2023,36.66666794
01M142,P.S. 142 AMALIA CASTRO,3,2022,11.11111069
01M142,P.S. 142 AMALIA CASTRO,4,2022,s
01M142,P.S. 142 AMALIA CASTRO,5,2022,21.73913002
01M142,P.S. 142 AMALIA CASTRO,All Grades,2022,s
01M142,P.S. 142 AMALIA CASTRO,3,2019,51.35135269
01M142,P.S. 142 AMALIA CASTRO,4,2019,57.1428566
01M142,P.S. 142 AMALIA CASTRO,5,2019,23.07692337
01M142,P.S. 142 AMALIA CASTRO,All Grades,2019,42.30769348
01M142,P.S. 142 AMALIA CASTRO,3,2018,58.62068939
01M142,P.S. 142 AMALIA CASTRO,4,2018,40
01M142,P.S. 142 AMALIA CASTRO,5,2018,20
01M142,P.S. 142 AMALIA CASTRO,All Grades,2018,38.38383865
01M142,P.S. 142 AMALIA CASTRO,3,2017,44.11764526
01M142,P.S. 142 AMALIA CASTRO,4,2017,41.17647171
01M142,P.S. 142 AMALIA CASTRO,5,2017,18.33333397
01M142,P.S. 142 AMALIA CASTRO,All Grades,2017,31.25
01M142,P.S. 142 AMALIA CASTRO,3,2016,25
01M142,P.S. 142 AMALIA CASTRO,4,2016,15.51724148
01M142,P.S. 142 AMALIA CASTRO,5,2016,17.39130402
01M142,P.S. 142 AMALIA CASTRO,All Grades,2016,18.75
01M142,P.S. 142 AMALIA CASTRO,3,2015,14.75409794
01M142,P.S. 142 AMALIA CASTRO,4,2015,6.521739006
01M142,P.S. 142 AMALIA CASTRO,5,2015,8.928571701
01M142,P.S. 142 AMALIA CASTRO,All Grades,2015,10.42944813
01M142,P.S. 142 AMALIA CASTRO,3,2014,4.255319118
01M142,P.S. 142 AMALIA CASTRO,4,2014,19.29824638
01M142,P.S. 142 AMALIA CASTRO,5,2014,6.122448921
01M142,P.S. 142 AMALIA CASTRO,All Grades,2014,10.45751667
01M142,P.S. 142 AMALIA CASTRO,3,2013,20.33898354
01M142,P.S. 142 AMALIA CASTRO,4,2013,14.81481457
01M142,P.S. 142 AMALIA CASTRO,5,2013,7.407407284
01M142,P.S. 142 AMALIA CASTRO,All Grades,2013,14.37125778
01M184,P.S. 184M SHUANG WEN,3,2023,53.03030396
01M184,P.S. 184M SHUANG WEN,4,2023,85.41666412
01M184,P.S. 184M SHUANG WEN,5,2023,90.90908813
01M184,P.S. 184M SHUANG WEN,6,2023,87.34177399
01M184,P.S. 184M SHUANG WEN,7,2023,82.35294342
01M184,P.S. 184M SHUANG WEN,8,2023,87.64044952
01M184,P.S. 184M SHUANG WEN,All Grades,2023,81.27961731
01M184,P.S. 184M SHUANG WEN,3,2022,63.04347992
01M184,P.S. 184M SHUANG WEN,4,2022,80.35713959
01M184,P.S. 184M SHUANG WEN,5,2022,70.58823395
01M184,P.S. 184M SHUANG WEN,6,2022,76.82926941
01M184,P.S. 184M SHUANG WEN,7,2022,77.0114975
01M184,P.S. 184M SHUANG WEN,8,2022,76.82926941
01M184,P.S. 184M SHUANG WEN,All Grades,2022,75
01M184,P.S. 184M SHUANG WEN,3,2019,71.42857361
01M184,P.S. 184M SHUANG WEN,4,2019,82.25806427
01M184,P.S. 184M SHUANG WEN,5,2019,55.73770523
01M184,P.S. 184M SHUANG WEN,6,2019,82.14286041
01M184,P.S. 184M SHUANG WEN,7,2019,77.77777863
01M184,P.S. 184M SHUANG WEN,8,2019,77.63157654
01M184,P.S. 184M SHUANG WEN,All Grades,2019,75.30266571
01M184,P.S. 184M SHUANG WEN,3,2018,75.38461304
01M184,P.S. 184M SHUANG WEN,4,2018,72.13114929
