"Administrative District",Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
08,2020-21,25731,738,1635,1601,1759,1773,1811,1908,2045,1981,1914,2045,1723,1855,1534,1409,12603,0.48979830741882324,13128,0.5102016925811768,,,1713,0.06657339632511139,5266,0.20465585589408875,16661,0.6475068926811218,167,0.006490225903689861,304,0.011814543046057224,1549,0.060199759900569916,71,0.002759317634627223,5869,0.22809062898159027,3523,0.13691656291484833,21565,0.8380941152572632,0.8408468961715698
08,2021-22,24338,879,1605,1533,1627,1664,1700,1752,1836,1830,1933,1848,1681,1545,1559,1346,11950,0.4910017251968384,12388,0.5089982748031616,,,1773,0.07284904271364212,4775,0.19619524478912354,15918,0.6540389657020569,150,0.0061632017605006695,276,0.011340291239321232,1383,0.05682471767067909,63,0.002588544739410281,5526,0.22705234587192535,3537,0.14532829821109772,20119,0.8266496658325195,0.8264300227165222
08,2022-23,23814,932,1639,1527,1510,1602,1613,1693,1726,1710,1815,1919,1640,1664,1456,1368,11708,0.4916435778141022,12104,0.5082724690437317,2,8.398421050515026E-05,1795,0.07537583261728287,4601,0.19320568442344666,15333,0.6438649296760559,150,0.006298815831542015,276,0.011589821428060532,1349,0.056647349148988724,310,0.01301755290478468,5291,0.22218023240566254,3458,0.1452087014913559,19822,0.8323675394058228,0.8361848592758179
09,2018-19,34180,0,2634,2395,2600,2612,2678,2614,2628,2544,2670,2683,2292,2157,1861,1812,16940,0.4956114590167999,17240,0.5043885111808777,,,477,0.013955529779195786,9421,0.2756290137767792,23486,0.6871269941329956,68,0.0019894675351679325,203,0.00593914557248354,474,0.013867759145796299,51,0.0014921006513759494,7896,0.2310122847557068,7648,0.2237565815448761,31600,0.9245172739028931,0.9308720827102661
09,2019-20,33198,1206,2360,2189,2278,2413,2435,2536,2501,2449,2497,2589,2269,2067,1766,1643,16482,0.4964756965637207,16716,0.5035243034362793,,,468,0.014097235165536404,8902,0.2681486904621124,22773,0.6859750747680664,69,0.0020784384105354548,190,0.005723236128687859,451,0.013585155829787254,345,0.010392192751169205,7449,0.2243809849023819,6823,0.20552442967891693,30495,0.9185794591903687,0.9376536011695862
09,2020-21,31124,1173,2039,1761,2077,2149,2280,2332,2409,2216,2402,2448,2119,2156,1816,1747,15491,0.49771881103515625,15633,0.5022811889648438,,,426,0.013687186874449253,8290,0.26635393500328064,21467,0.6897249817848206,120,0.003855545539408922,198,0.006361650303006172,423,0.013590797781944275,200,0.006425909232348204,7025,0.22571006417274475,6580,0.21141241490840912,28791,0.9250417947769165,0.9376582503318787
09,2021-22,28491,1334,1899,1726,1741,1898,1981,2028,2096,2022,2067,2270,2050,1839,1832,1708,14064,0.4936295747756958,14427,0.5063704252243042,,,353,0.012389877811074257,7590,0.26639991998672485,19776,0.6941139101982117,95,0.0033343862742185593,181,0.006352883297950029,391,0.01372363232076168,105,0.003685374278575182,6547,0.22979186475276947,6228,0.21859534084796906,26015,0.9130953550338745,0.9230241179466248
09,2022-23,27028,1269,1723,1705,1768,1712,1800,1939,1980,1927,1983,2052,1960,1933,1639,1638,13316,0.4926742613315582,13710,0.5072517395019531,2,7.399733294732869E-05,310,0.011469586752355099,7086,0.26217254996299744,18701,0.6919121146202087,98,0.003625869518145919,187,0.006918750703334808,375,0.013874500058591366,271,0.010026639327406883,6167,0.22817078232765198,5800,0.21459227800369263,24936,0.9225987792015076,0.932945191860199
10,2018-19,54925,0,3699,3693,4038,3995,4004,4167,4052,3842,3849,3747,4313,4075,3778,3673,26890,0.48957669734954834,28035,0.5104233026504517,,,4267,0.07768775522708893,8262,0.1504233032464981,38231,0.6960582733154297,316,0.005753300152719021,473,0.008611743338406086,3269,0.059517525136470795,107,0.0019481111085042357,11149,0.20298588275909424,11328,0.20624488592147827,45675,0.8315885066986084,0.8328092694282532
10,2019-20,53811,517,3847,3503,3681,3919,3916,3936,4018,3718,3824,3819,4220,3920,3558,3415,26516,0.4927617013454437,27295,0.5072382688522339,,,4107,0.07632268220186234,8041,0.14943040907382965,37263,0.6924792528152466,354,0.006578580476343632,467,0.008678522892296314,3212,0.05969039723277092,367,0.006820166949182749,10734,0.1994759440422058,10537,0.19581498205661774,44864,0.8337329030036926,0.8465123176574707
